true_label_id,true_gloss,predicted_label_id,predicted_gloss,count
185,choose,843,spirit,1
187,church,299,duty,1
188,city,922,town,1
189,class,68,ball,1
190,classroom,634,open,1
191,clean,614,nice,1
193,climb,444,headache,1
195,close,283,door,1
196,clothes,290,dress,1
197,cloud,484,inform,1
198,coffee,684,potato,1
199,cold,415,gossip,1
200,college,216,cook,1
201,color,575,mom,1
202,comb,633,onion,1
203,comfortable,188,city,1
205,community,188,city,1
207,complain,226,cough,1
209,compromise,248,decide,1
210,computer,636,opinion,1
211,conflict,962,wedding,1
212,contact,668,pillow,1
213,continue,178,check,1
214,contribute,707,provide,1
215,convince,185,choose,1
215,convince,662,perspective,1
216,cook,968,what,1
217,cookie,817,slow,1
218,cool,280,doll,1
218,cool,980,wine,1
219,cop,677,police,1
221,corn,391,front,1
221,corn,771,scissors,1
222,corner,0,about,1
223,correct,747,right,1
224,cost,365,fine,1
225,couch,276,divide,1
226,cough,918,toilet,1
228,cousin,439,hat,1
228,cousin,888,tall,1
229,cover,956,warn,1
230,cow,444,headache,1
231,cracker,227,country,1
232,crash,397,game,1
233,crazy,114,boss,1
234,cry,308,easter,1
234,cry,485,information,1
235,cup,614,nice,1
238,curse,328,escape,1
239,cut,857,stop,1
240,cute,873,sugar,1
242,dance,503,jump,1
246,dead,171,chance,1
247,deaf,821,snake,1
247,deaf,893,television,1
248,decide,175,chat,1
249,decorate,243,dark,1
250,deep,197,cloud,1
252,delay,701,procrastinate,1
253,delicious,26,and,1
253,delicious,955,warm,1
255,dentist,201,color,1
256,deny,618,none,1
257,deodorant,676,point,1
258,depend,97,bicycle,1
259,describe,345,explain,1
261,desk,40,arm,1
262,dessert,717,quick,1
263,destroy,736,remove,1
264,develop,161,catch,1
265,diamond,930,triangle,1
267,diarrhea,374,fold,1
268,dictionary,910,ticket,1
269,different,138,but,1
271,disagree,17,allergy,1
272,disappear,812,skinny,1
273,discuss,835,soup,1
274,dissolve,56,avoid,1
275,dive,492,introduce,1
276,divide,371,floor,1
278,doctor,65,bake,1
279,dog,280,doll,1
279,dog,993,yellow,1
280,doll,729,really,1
281,dollar,523,lead,1
282,dolphin,805,silent,1
284,double,390,from,1
285,doubt,310,eat,1
287,draw,50,attract,1
288,drawer,916,today,1
289,dream,881,suspect,1
290,dress,266,diaper,1
291,drink,423,greece,1
293,drop,286,down,1
294,drunk,574,miss,1
296,duck,714,puzzled,1
297,dumb,752,rooster,1
298,during,155,cards,1
299,duty,684,potato,1
300,eagle,32,any,1
301,ear,416,government,1
302,early,468,humble,1
303,earn,543,lock,1
304,earring,433,halloween,1
305,earth,684,potato,1
306,earthquake,311,egg,1
307,east,851,stare,1
309,easy,707,provide,1
310,eat,376,food,1
312,egypt,296,duck,1
313,eight,456,history,1
315,elevator,895,temperature,1
318,emotion,28,angry,1
320,end,314,elephant,1
321,energy,592,muscle,1
322,english,616,night,1
323,enjoy,232,crash,1
324,enough,9,afternoon,1
325,enter,83,become,1
326,environment,70,banana,1
326,environment,762,sandwich,1
328,escape,404,give,1
329,europe,439,hat,1
331,event,357,fear,1
332,every,494,investigate,1
333,evidence,165,cereal,1
334,exact,417,graduate,1
335,exaggerate,804,sign,1
336,example,203,comfortable,1
336,example,798,show,1
337,exchange,923,trade,1
338,excited,766,scared,1
339,exercise,545,loud,1
340,expect,545,loud,1
342,experience,655,peach,1
343,experiment,769,science,1
344,expert,236,curious,1
345,explain,259,describe,1
346,face,439,hat,1
347,fact,509,kitchen,1
348,fail,129,bring,1
349,family,80,beard,1
349,family,465,hour,1
350,fancy,535,like,1
351,far,407,go,1
351,far,802,sick,1
352,fast,56,avoid,1
353,fat,578,monkey,1
353,fat,813,skirt,1
354,father,584,mother,1
356,favorite,201,color,1
357,fear,766,scared,1
358,feed,164,center,1
359,feedback,150,cancel,1
360,feel,942,upset,1
361,few,570,milk,1
362,fight,457,hit,1
363,finally,269,different,1
364,find,456,history,1
365,fine,679,polite,1
366,finish,21,already,1
367,first,775,second,1
368,fish,165,cereal,1
368,fish,796,short,1
369,fishing,536,limit,1
370,flag,739,respect,1
371,floor,277,divorce,1
374,fold,303,earn,1
375,follow,927,translate,1
376,food,621,nose,1
377,football,188,city,1
381,form,553,make,1
382,fox,427,guess,1
383,france,526,lecture,1
384,freeze,560,maybe,1
385,french,526,lecture,1
386,friday,403,girl,1
387,friend,798,show,1
388,friendly,87,before,1
390,from,719,quit,1
391,front,403,girl,1
392,fruit,372,flower,1
393,full,229,cover,1
394,function,9,afternoon,1
395,funny,372,flower,1
397,game,169,challenge,1
399,gather,246,dead,1
400,germany,102,bite,1
402,giraffe,528,lesbian,1
403,girl,527,lemon,1
404,give,441,have,1
404,give,827,soft,1
406,gloves,374,fold,1
407,go,113,borrow,1
408,goal,676,point,1
409,goat,419,grandfather,1
411,golf,515,last,1
412,gone,272,disappear,1
413,good,43,arrive,1
413,good,333,evidence,1
414,goodbye,970,where,1
415,gossip,308,easter,1
416,government,367,first,1
417,graduate,504,keep,1
418,grammar,98,big,1
419,grandfather,354,father,1
423,greece,670,pizza,1
425,group,5,add,1
427,guess,574,miss,1
428,guilty,451,her,1
430,gum,295,dry,1
431,hair,72,barely,1
432,half,894,tell,1
434,hamburger,622,not,1
435,hammer,495,invite,1
436,happen,331,event,1
437,happy,428,guilty,1
438,hard,156,care,1
439,hat,875,summer,1
442,hawaii,346,face,1
443,head,511,know,1
445,hear,527,lemon,1
446,hearing,295,dry,1
447,heart,254,demand,1
448,helicopter,895,temperature,1
449,hello,936,uncle,1
450,help,417,graduate,1
450,help,577,money,1
451,her,904,there,1
452,here,492,introduce,1
453,herself,884,sweetheart,1
454,high,570,milk,1
456,history,366,finish,1
457,hit,453,herself,1
458,home,6,adult,1
460,honor,48,attention,1
461,hope,210,computer,1
462,horse,869,stubborn,1
463,hospital,49,attitude,1
464,hot,253,delicious,1
464,hot,260,desert,1
466,house,366,finish,1
469,hungry,894,tell,1
471,hurt,969,when,1
472,husband,90,believe,1
473,ice cream,296,duck,1
474,idea,799,shower,1
475,if,304,earring,1
476,ignore,983,woman,1
478,impossible,16,all,1
480,in,345,explain,1
481,increase,760,salt,1
482,independent,618,none,1
484,inform,802,sick,1
486,inside,543,lock,1
488,interest,401,get,1
488,interest,987,world,1
489,internet,212,contact,1
490,interpret,336,example,1
491,interview,188,city,1
492,introduce,125,brag,1
493,invest,120,bowling,1
494,investigate,738,research,1
495,invite,120,bowling,1
496,island,401,get,1
497,israel,741,restaurant,1
499,japan,985,word,1
500,jealous,475,if,1
501,jesus,167,chain,1
502,join,707,provide,1
503,jump,745,rich,1
504,keep,747,right,1
505,keyboard,384,freeze,1
506,kill,161,catch,1
507,king,926,transfer,1
508,kiss,170,champion,1
510,knife,311,egg,1
511,know,329,europe,1
512,land,827,soft,1
513,language,277,divorce,1
513,language,418,grammar,1
514,large,269,different,1
515,last,87,before,1
515,last,320,end,1
516,last year,56,avoid,1
518,later,195,close,1
518,later,970,where,1
519,laugh,475,if,1
519,laugh,763,saturday,1
520,law,327,equal,1
521,lawyer,718,quiet,1
523,lead,326,environment,1
525,leave,711,purple,1
525,leave,986,work,1
526,lecture,840,speech,1
527,lemon,445,hear,1
528,lesbian,894,tell,1
529,lesson,465,hour,1
530,letter,735,remember,1
530,letter,772,score,1
532,library,617,no,1
534,light,731,red,1
535,like,587,mouse,1
535,like,761,same,1
536,limit,659,perfect,1
537,line,905,thin,1
538,lion,641,overwhelm,1
539,list,44,art,1
541,live,441,have,1
542,lobster,206,compare,1
543,lock,986,work,1
545,loud,269,different,1
548,lucky,184,choice,1
550,machine,211,conflict,1
551,mad,107,blind,1
552,magazine,572,minute,1
555,many,470,hurry,1
555,many,951,wait,1
556,march,278,doctor,1
557,marry,768,school,1
558,match,121,box,1
559,math,5,add,1
560,maybe,39,argue,1
561,mean,774,screwdriver,1
562,measure,760,salt,1
564,mechanic,401,get,1
566,meet,254,demand,1
567,meeting,818,small,1
568,memorize,937,understand,1
569,microwave,68,ball,1
570,milk,456,history,1
571,minus,586,mountain,1
572,minute,369,fishing,1
573,mirror,779,seem,1
574,miss,427,guess,1
575,mom,584,mother,1
576,monday,386,friday,1
577,money,557,marry,1
579,month,70,banana,1
580,moon,373,fly,1
581,more,489,internet,1
582,morning,979,window,1
584,mother,382,fox,1
584,mother,575,mom,1
585,motorcycle,769,science,1
586,mountain,9,afternoon,1
587,mouse,711,purple,1
588,mouth,894,tell,1
589,move,618,none,1
589,move,713,put,1
590,movie,185,choose,1
591,much,357,fear,1
592,muscle,884,sweetheart,1
593,museum,935,ugly,1
594,mushroom,170,champion,1
595,music,42,arrest,1
596,must,670,pizza,1
597,mustache,762,sandwich,1
598,my,674,please,1
599,name,912,time,1
600,napkin,403,girl,1
601,near,590,movie,1
602,neck,294,drunk,1
603,necklace,106,blanket,1
604,need,900,that,1
605,negative,850,star,1
606,neighbor,274,dissolve,1
607,nephew,620,north,1
608,nervous,813,skirt,1
610,never,314,elephant,1
611,new,60,baby,1
612,newspaper,387,friend,1
613,next,827,soft,1
614,nice,341,expensive,1
616,night,479,improve,1
617,no,181,child,1
617,no,821,snake,1
618,none,210,computer,1
619,noon,186,christmas,1
620,north,462,horse,1
622,not,546,lousy,1
623,now,690,present,1
624,number,238,curse,1
625,nurse,544,losear,1
627,off,57,away,1
628,office,213,continue,1
629,often,823,soap,1
630,ok,963,wednesday,1
631,old,973,who,1
632,one,487,insurance,1
633,onion,875,summer,1
634,open,283,door,1
635,operate,254,demand,1
637,orange,776,secret,1
638,order,672,plan,1
638,order,689,prepare,1
639,other,761,same,1
640,outside,144,call,1
642,owe,830,sometimes,1
643,page,696,print,1
644,pain,969,when,1
645,paint,539,list,1
646,pants,938,underwear,1
647,paper,565,medicine,1
648,parade,278,doctor,1
649,parents,354,father,1
650,party,683,postpone,1
651,pass,502,join,1
652,past,87,before,1
653,patient,473,ice cream,1
654,pay,348,fail,1
655,peach,342,experience,1
656,pencil,738,research,1
657,people,470,hurry,1
658,pepper,286,down,1
659,perfect,460,honor,1
660,period,300,eagle,1
662,perspective,170,champion,1
663,philosophy,416,government,1
664,phone,437,happy,1
665,photographer,891,teacher,1
666,picture,477,important,1
667,pig,344,expert,1
669,pink,883,sweet,1
670,pizza,837,south,1
670,pizza,998,your,1
671,place,946,visit,1
672,plan,689,prepare,1
673,play,650,party,1
674,please,598,my,1
675,plus,70,banana,1
676,point,662,perspective,1
677,police,219,cop,1
678,policy,737,require,1
679,polite,687,pray,1
680,poor,227,country,1
683,postpone,394,function,1
684,potato,299,duty,1
685,power,321,energy,1
686,practice,387,friend,1
688,predict,703,project,1
689,prepare,638,order,1
690,present,569,microwave,1
691,presentation,158,carrot,1
693,pretty,81,beautiful,1
694,price,490,interpret,1
695,priest,295,dry,1
696,print,557,marry,1
697,printer,736,remove,1
698,prison,489,internet,1
699,private,776,secret,1
700,problem,367,first,1
701,procrastinate,683,postpone,1
703,project,697,printer,1
704,promise,102,bite,1
705,protect,828,solid,1
706,prove,488,interest,1
707,provide,916,today,1
708,psychology,740,rest,1
709,pull,337,exchange,1
710,punish,748,rise,1
711,purple,279,dog,1
712,push,166,certificate,1
713,put,293,drop,1
714,puzzled,312,egypt,1
716,question,853,stay,1
717,quick,56,avoid,1
718,quiet,805,silent,1
719,quit,691,presentation,1
721,raccoon,444,headache,1
722,radio,301,ear,1
723,rain,793,shock,1
724,rainbow,351,far,1
725,rake,164,center,1
726,rat,141,cafeteria,1
727,read,31,answer,1
729,really,36,appointment,1
730,reason,906,think,1
731,red,741,restaurant,1
732,rehearse,686,practice,1
733,reject,761,same,1
734,religion,428,guilty,1
736,remove,341,expensive,1
737,require,254,demand,1
738,research,755,rule,1
739,respect,860,straight,1
740,rest,144,call,1
741,restaurant,600,napkin,1
742,retire,1,accept,1
743,revenge,274,dissolve,1
747,right,223,correct,1
748,rise,164,center,1
749,river,626,ocean,1
750,roof,896,tent,1
751,room,129,bring,1
751,room,399,gather,1
752,rooster,354,father,1
753,rough,281,dollar,1
754,rude,200,college,1
755,rule,678,policy,1
757,russia,424,green,1
760,salt,168,chair,1
761,same,605,negative,1
763,saturday,932,tuesday,1
764,save,482,independent,1
765,say,446,hearing,1
767,schedule,365,fine,1
768,school,216,cook,1
770,scientist,4,actor,1
771,scissors,149,canada,1
772,score,38,area,1
772,score,563,meat,1
773,scotland,463,hospital,1
774,screwdriver,224,cost,1
775,second,20,alone,1
776,secret,587,mouse,1
777,secretary,95,bet,1
778,see,255,dentist,1
779,seem,900,that,1
780,sell,641,overwhelm,1
782,send,957,wash,1
784,separate,56,avoid,1
785,serious,240,cute,1
786,service,129,bring,1
788,shape,178,check,1
791,shine,880,surgery,1
792,shirt,114,boss,1
792,shirt,207,complain,1
793,shock,545,loud,1
794,shoes,213,continue,1
795,shop,303,earn,1
796,short,181,child,1
796,short,810,sit,1
797,should,900,that,1
798,show,755,rule,1
799,shower,228,cousin,1
800,shrimp,295,dry,1
801,shy,905,thin,1
804,sign,992,year,1
805,silent,718,quiet,1
806,silly,533,lie,1
808,single,141,cafeteria,1
809,sister,130,brother,1
810,sit,168,chair,1
811,situation,326,environment,1
812,skinny,325,enter,1
813,skirt,517,late,1
814,sky,380,forget,1
817,slow,987,world,1
818,small,493,invest,1
819,smart,445,hear,1
820,smile,444,headache,1
821,snake,853,stay,1
822,snow,780,sell,1
822,snow,791,shine,1
823,soap,139,butter,1
824,soccer,864,stress,1
825,socks,952,walk,1
826,soda,164,center,1
827,soft,337,exchange,1
828,solid,747,right,1
829,some,303,earn,1
830,sometimes,87,before,1
831,son,244,daughter,1
832,soon,72,barely,1
832,soon,344,expert,1
833,sorry,149,canada,1
834,sound,144,call,1
835,soup,165,cereal,1
838,spain,463,hospital,1
839,special,489,internet,1
840,speech,526,lecture,1
840,speech,619,noon,1
842,spin,804,sign,1
843,spirit,889,tea,1
844,spray,45,asia,1
845,square,265,diamond,1
846,squirrel,262,dessert,1
847,staff,295,dry,1
849,stand,839,special,1
851,stare,46,ask,1
852,start,579,month,1
853,stay,796,short,1
854,steal,603,necklace,1
855,stink,372,flower,1
857,stop,417,graduate,1
858,store,641,overwhelm,1
859,story,719,quit,1
860,straight,761,same,1
862,straw,977,win,1
863,street,690,present,1
864,stress,302,early,1
865,strict,832,soon,1
866,strong,854,steal,1
869,stubborn,580,moon,1
870,student,777,secretary,1
871,study,5,add,1
871,study,954,war,1
874,suggest,951,wait,1
875,summer,289,dream,1
876,summon,754,rude,1
878,sunrise,921,top,1
880,surgery,635,operate,1
881,suspect,85,bedroom,1
882,swallow,11,age,1
972,white,833,sorry,1
884,sweetheart,582,morning,1
885,table,261,desk,1
886,take,761,same,1
886,take,928,travel,1
888,tall,137,busy,1
888,tall,402,giraffe,1
889,tea,950,vote,1
891,teacher,48,attention,1
892,tease,401,get,1
893,television,47,asl,1
894,tell,446,hearing,1
894,tell,898,thank you,1
895,temperature,605,negative,1
898,thank you,413,good,1
899,thanksgiving,428,guilty,1
899,thanksgiving,933,turkey,1
900,that,837,south,1
901,themselves,658,pepper,1
902,theory,423,greece,1
902,theory,663,philosophy,1
903,therapy,165,cereal,1
904,there,796,short,1
963,wednesday,185,choose,1
906,think,937,understand,1
907,thirsty,469,hungry,1
908,throw,779,seem,1
909,thursday,424,green,1
909,thursday,610,never,1
910,ticket,830,sometimes,1
912,time,782,send,1
914,to,262,dessert,1
915,toast,798,show,1
915,toast,862,straw,1
916,today,177,cheat,1
917,together,450,help,1
918,toilet,609,neutral,1
920,tomorrow,631,old,1
921,top,164,center,1
923,trade,140,buy,1
923,trade,337,exchange,1
926,transfer,26,and,1
928,travel,580,moon,1
929,tree,369,fishing,1
930,triangle,265,diamond,1
931,truck,617,no,1
932,tuesday,763,saturday,1
933,turkey,473,ice cream,1
3,across,9,afternoon,1
935,ugly,82,because,1
936,uncle,230,cow,1
937,understand,663,philosophy,1
939,university,159,carry,1
940,until,914,to,1
941,up,14,airplane,1
943,use,782,send,1
944,vacation,742,retire,1
946,visit,717,quick,1
947,voice,204,command,1
948,volunteer,280,doll,1
949,vomit,718,quiet,1
951,wait,953,want,1
952,walk,259,describe,1
952,walk,384,freeze,1
953,want,452,here,1
954,war,353,fat,1
955,warm,201,color,1
956,warn,824,soccer,1
957,wash,434,hamburger,1
958,watch,219,cop,1
959,water,86,beer,1
961,weather,822,snow,1
7,africa,716,question,1
964,week,754,rude,1
966,west,726,rat,1
968,what,175,chat,1
968,what,259,describe,1
970,where,487,insurance,1
971,which,541,live,1
972,white,207,complain,1
6,adult,888,tall,1
973,who,11,age,1
973,who,836,sour,1
974,why,108,blue,1
974,why,610,never,1
976,will,72,barely,1
977,win,516,last year,1
979,window,116,bother,1
982,witness,835,soup,1
983,woman,548,lucky,1
983,woman,554,man,1
984,wood,239,cut,1
17,allergy,292,drive,1
988,worry,890,teach,1
989,wow,329,europe,1
990,write,217,cookie,1
990,write,880,surgery,1
999,zero,392,fruit,1
993,yellow,711,purple,1
994,yes,46,ask,1
994,yes,851,stare,1
995,yesterday,6,adult,1
996,you,424,green,1
997,young,541,live,1
46,ask,908,throw,1
